epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3897,1.35035,3.69247,1.21465,0.35954,0.20487,0.16284,0.09975,1.05953,3.2425,1.02663,0.000545744,0.000545744,0.000545744
2,34.4105,1.19725,2.68233,1.11685,0.45011,0.48638,0.37688,0.24793,1.27422,2.32354,1.11043,0.000992371,0.000992371,0.000992371
3,50.113,1.16598,2.2475,1.12988,0.43503,0.66573,0.43996,0.29263,1.13449,1.71218,1.07383,0.00132898,0.00132898,0.00132898
4,65.212,1.11603,1.89174,1.10277,0.4086,0.71891,0.42445,0.28102,1.1827,1.6882,1.15096,0.0011719,0.0011719,0.0011719
5,80.2935,1.1018,1.69946,1.10699,0.4388,0.80915,0.47216,0.31637,1.03243,1.38161,1.0569,0.00100687,0.00100687,0.00100687
6,95.3736,1.04983,1.53114,1.07194,0.46615,0.79217,0.49355,0.35289,1.02513,1.26842,1.03474,0.000841835,0.000841835,0.000841835
7,110.531,1.02565,1.42387,1.04915,0.46798,0.80516,0.49007,0.35827,0.98659,1.22017,1.00605,0.000676802,0.000676802,0.000676802
8,126.481,0.95703,1.33432,1.02722,0.47501,0.85662,0.4779,0.34875,0.96899,1.17597,1.00048,0.000511769,0.000511769,0.000511769
9,141.626,0.92055,1.26715,1.00394,0.46578,0.83688,0.48902,0.36344,0.9543,1.19921,0.99284,0.000346736,0.000346736,0.000346736
10,156.572,0.89465,1.22255,0.99962,0.45326,0.86886,0.48868,0.36597,0.94362,1.16375,0.99301,0.000181703,0.000181703,0.000181703
