epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3907,1.32411,3.79579,1.3037,0.00231,0.59931,0.18456,0.09808,1.11048,3.56619,1.15281,0.000545744,0.000545744,0.000545744
2,43.8117,1.28322,2.8103,1.28526,0.31409,0.16211,0.13154,0.06921,1.37632,3.03188,1.41927,0.000992371,0.000992371,0.000992371
3,62.7758,1.26942,2.39731,1.28767,0.37704,0.46917,0.29263,0.15844,1.38905,2.51238,1.42035,0.00132898,0.00132898,0.00132898
4,81.6923,1.22544,2.02742,1.27387,0.45483,0.42292,0.31121,0.17723,1.67845,2.37112,1.62047,0.0011719,0.0011719,0.0011719
5,100.674,1.16022,1.79738,1.25173,0.43756,0.78041,0.46935,0.31651,1.14132,1.51592,1.28794,0.00100687,0.00100687,0.00100687
6,119.227,1.11521,1.63647,1.20405,0.42206,0.78042,0.45473,0.3047,1.12871,1.46862,1.19324,0.000841835,0.000841835,0.000841835
7,138.465,1.07664,1.52321,1.17958,0.43711,0.82714,0.48116,0.33351,1.08496,1.35302,1.18811,0.000676802,0.000676802,0.000676802
8,157.063,1.04313,1.43782,1.13993,0.47913,0.8049,0.49612,0.34422,1.06042,1.28881,1.18674,0.000511769,0.000511769,0.000511769
9,176.477,0.97664,1.35077,1.10802,0.46522,0.85531,0.48396,0.34066,1.03029,1.2567,1.13682,0.000346736,0.000346736,0.000346736
10,194.784,0.95851,1.31613,1.09156,0.47021,0.83337,0.48069,0.34286,1.01638,1.23741,1.14501,0.000181703,0.000181703,0.000181703
