epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4247,1.30375,3.85393,1.22355,0.00185,0.52512,0.02923,0.01379,1.28147,3.82394,1.30339,0.000545744,0.000545744,0.000545744
2,36.6719,1.20033,2.74048,1.13195,0.40217,0.51687,0.3183,0.21119,1.1458,2.45016,1.12704,0.000992371,0.000992371,0.000992371
3,52.575,1.15706,2.28871,1.11376,0.44489,0.66551,0.43872,0.30046,1.15208,1.8416,1.14052,0.00132898,0.00132898,0.00132898
4,68.7535,1.14366,1.96423,1.10579,0.42671,0.70846,0.43096,0.28287,1.17822,1.57184,1.1132,0.0011719,0.0011719,0.0011719
5,86.6123,1.08392,1.7348,1.08372,0.4325,0.7834,0.46381,0.3166,1.09885,1.3607,1.05904,0.00100687,0.00100687,0.00100687
6,102.603,1.07537,1.57531,1.067,0.45371,0.85961,0.48374,0.32893,1.07529,1.26576,1.06863,0.000841835,0.000841835,0.000841835
7,118.702,1.01037,1.45601,1.03367,0.44657,0.86386,0.48268,0.34621,1.01016,1.23896,1.03093,0.000676802,0.000676802,0.000676802
8,134.856,0.96002,1.40135,1.03436,0.46212,0.85131,0.48332,0.34606,1.01502,1.19998,1.01632,0.000511769,0.000511769,0.000511769
9,151.523,0.93222,1.32496,1.00366,0.46474,0.86354,0.48194,0.34521,1.00174,1.20261,1.03614,0.000346736,0.000346736,0.000346736
10,167.135,0.90663,1.27002,0.99859,0.46976,0.86059,0.4762,0.34389,0.97743,1.18169,1.02845,0.000181703,0.000181703,0.000181703
